city,company,station_name,supercarburant_price,station_location
Casablanca,WINXO,WINXO ROUTE DE BENSLIMANE,‎ 14.78 DH,"ROUTE BENSLIMANE ,ANGLE BD LA GRANDE CEINTURE & BD OKBA IBNO NAFIA"
Casablanca,WINXO,WINXO AIN SEBAA,‎ 14.78 DH,BD MOULAY ISMAIL
Casablanca,WINXO,WINXO AIN BORJA,‎ 14.78 DH,BD IBN TACHFINE
Casablanca,WINXO,WINXO TIT MELLIL,‎ 14.82 DH,BEN M'SIK DERB MILAN
Casablanca,WINXO,WINXO LA VILLETTE,‎ 14.75 DH,CENTRE TIT MELLIL
Casablanca,WINXO,WINXO MAROC CARBURANT,‎ 14.79 DH,KM 5 RTE MEDIOUNA
Casablanca,WINXO,WINXO MOULAY ISMAIL,‎ 14.83 DH,BD MOULAY ISMAIL
Casablanca,WINXO,WINXO BLAYE,‎ 14.78 DH,RUE BLAYE ET BD OULED ZIANE
Casablanca,WINXO,WINXO BUZANCY,‎ 14.78 DH,ANGLE BD PASTEUR ET RUE BUZANCY
Casablanca,WINXO,WINXO BD MLY DRISS,‎ 14.87 DH,ANG AV MY IDRISS 1ER 
Casablanca,WINXO,WINXO AVENUE 2 MARS,‎ 14.78 DH,"ANGLES AVENUE , 2 MARS ET RUE LAMARTINE"
Casablanca,WINXO,WINXO LES ALLIES,‎ 14.78 DH,PLACE DE LA VICTOIRE
Casablanca,WINXO,WINXO VESALE,‎ 14.8 DH,RUE VESALE ET 2 MARS
Casablanca,WINXO,WINXO HASSAN II CASA,‎ 14.8 DH,RP HASSANE 2 CASA
Casablanca,WINXO,WINXO AL MASSIRA,‎ 14.78 DH,AVENUE EL MASSIRA
Casablanca,WINXO,WINXO DANTON,‎ 14.78 DH,BD BORDEAUX
Casablanca,WINXO,WINXO AVENIR,‎ 14.78 DH,BD BIR ANZARANE
Casablanca,WINXO,WINXO GHANDI,‎ 14.78 DH,RTE D'EL JADIDA
Casablanca,WINXO,WINXO HIPPODROME,‎ 14.79 DH,ANG. BD GHANDI ET IBN SINA
Casablanca,WINXO,WINXO OULFA,‎ 14.8 DH,ANGLE AV. MY RACHID ET D'HIERS
Casablanca,WINXO,WINXO SAMIR,‎ 14.79 DH,AVENUE SID AL KHADIR OULFA
Casablanca,WINXO,WINXO SOCCO,‎ 10.93 DH,ROUTE DE MOHAMMEDIA RS107 + PK6
